,activity_type,duration,day
0,entertainment,6.832937291974879,30
1,exercise,2.8892429206975563,30
2,other,41.314666005042696,30
3,rest,39.008134905484624,30
4,social,9.558456952455929,30
5,work,0.3965619243443143,30
6,entertainment,5.383955727415104,1
7,exercise,4.016169272579153,1
8,other,40.227566289257595,1
9,rest,37.61600668896536,1
10,social,10.755160361907283,1
11,work,2.0011416598755027,1
12,entertainment,3.6506538673247344,2
13,exercise,6.150577401031887,2
14,other,40.34915320233639,2
15,rest,36.703673230554564,2
16,social,8.295199362758812,2
17,work,4.850742935993613,2
18,entertainment,11.826381744115341,3
19,exercise,0.009573373811217943,3
20,other,48.58808199461882,3
21,rest,35.226484962261225,3
22,social,2.6793915394920926,3
23,work,1.6700863857013093,3
24,entertainment,1.9532780153531,4
25,exercise,8.413080980671856,4
26,other,6.290853916157521,4
27,rest,35.11184874239182,4
28,social,47.43808242987073,4
29,work,0.792855915554968,4
30,entertainment,0.008226016638602727,5
31,exercise,9.179999001193856,5
32,other,44.46744551559598,5
33,rest,39.159506985518256,5
34,social,7.150917252680052,5
35,work,0.03390522837325574,5
36,entertainment,1.611611630660718,6
37,exercise,0.08355658971253091,6
38,other,22.615393195800948,6
39,rest,67.45440089835255,6
40,social,3.509387224001695,6
41,work,4.725650461471568,6
