,responseTime_unixtimestamp,Attention,Stress
0,1556510780,-1,0
1,1556512418,1,1
2,1556513337,1,0
3,1556513687,0,0
4,1556515199,0,-1
5,1556515214,-1,2
6,1556515901,1,1
7,1556517622,-1,-3
8,1556518473,1,0
9,1556519193,2,-1
10,1556519512,-1,0
11,1556521418,0,1
12,1556522651,-1,-2
13,1556523042,-2,-2
14,1556524779,-1,3
15,1556527280,2,-1
16,1556529580,1,-2
17,1556530841,1,-2
18,1556530870,1,0
19,1556531421,-2,-1
20,1556533073,2,-1
21,1556534195,-2,2
22,1556535671,-1,1
23,1556535921,2,-2
24,1556536474,2,3
25,1556538487,2,-2
26,1556539380,-2,1
27,1556541968,2,-2
28,1556542381,3,-1
29,1556545479,0,-1
30,1556581422,0,-1
31,1556582982,0,1
32,1556585972,0,-2
33,1556586072,0,-3
34,1556586208,0,1
35,1556586331,-2,0
36,1556586332,-2,0
37,1556586456,-3,3
38,1556586826,-1,1
39,1556587433,-1,1
40,1556587501,-1,0
41,1556587605,-2,2
42,1556587619,1,-1
43,1556587777,0,-2
44,1556588220,-1,1
45,1556588373,0,0
46,1556588555,1,1
47,1556589084,2,-1
48,1556589329,0,0
49,1556589410,2,3
50,1556589679,0,0
51,1556589680,0,0
52,1556590109,1,-1
53,1556590162,0,0
54,1556590315,0,0
55,1556590710,-2,1
56,1556590730,-2,0
57,1556590999,3,-1
58,1556591008,2,-2
59,1556591123,3,1
60,1556591124,1,1
61,1556591661,1,1
62,1556592651,-1,-2
63,1556592670,-2,2
64,1556592787,0,1
65,1556592969,0,-1
66,1556592969,0,-1
67,1556593027,-1,0
68,1556593260,0,0
69,1556593277,1,0
70,1556593311,2,1
71,1556593331,0,2
72,1556593509,1,-1
73,1556593803,2,-2
74,1556593824,-2,0
75,1556593921,-1,1
76,1556593950,1,-1
77,1556593954,1,-1
78,1556594064,1,0
79,1556594257,3,-3
80,1556594996,0,-2
81,1556595269,-1,2
82,1556595696,-1,-1
83,1556595998,0,-2
84,1556596060,-2,1
85,1556596065,1,1
86,1556596116,2,-2
87,1556596375,2,-3
88,1556596464,1,0
89,1556596574,-2,-3
90,1556596592,-1,-1
91,1556596734,2,0
92,1556596843,0,-1
93,1556597083,1,2
94,1556597310,3,3
95,1556598225,1,-1
96,1556598840,-1,2
97,1556598840,-1,2
98,1556598918,0,0
99,1556599005,1,-1
100,1556599056,2,-2
101,1556599063,-2,-1
102,1556599213,-2,2
103,1556599241,0,0
104,1556599324,3,1
105,1556599410,1,-2
106,1556599644,-3,2
107,1556599653,2,1
108,1556600482,-1,-1
109,1556601291,1,-1
110,1556601357,2,1
111,1556601518,-2,-2
112,1556601531,-2,-2
113,1556601619,-1,0
114,1556601636,-1,1
115,1556601760,-2,-1
116,1556601824,-1,-3
117,1556601878,-1,1
118,1556601878,-1,1
119,1556601925,0,0
120,1556601932,-3,3
121,1556602113,3,-1
122,1556602150,0,-1
123,1556602188,2,-3
124,1556602199,1,-1
125,1556602212,0,1
126,1556602225,0,-1
127,1556602294,1,-1
128,1556602326,2,1
129,1556602816,1,1
130,1556602831,1,-1
131,1556603223,2,-3
132,1556604590,-1,1
133,1556604609,2,-2
134,1556604624,-1,-2
135,1556604626,-1,2
136,1556604635,-1,-3
137,1556604709,-2,-2
138,1556604741,1,2
139,1556604760,1,0
140,1556604767,-1,-2
141,1556604860,0,-1
142,1556604876,-3,1
143,1556604896,-2,1
144,1556605268,1,1
145,1556605356,-1,0
146,1556606169,2,-2
147,1556606193,-1,-2
148,1556606837,-1,-2
149,1556607100,1,0
150,1556607213,0,-2
151,1556607252,0,-1
152,1556607270,-1,-2
153,1556607308,-3,1
154,1556607330,1,-1
155,1556607330,-3,-1
156,1556607380,0,0
157,1556607420,0,1
158,1556607452,2,-3
159,1556607455,-1,3
160,1556607456,1,-2
161,1556607466,1,1
162,1556607472,3,0
163,1556607647,2,-2
164,1556607803,0,2
165,1556608336,-3,-2
166,1556609084,-1,2
167,1556609212,1,0
168,1556609212,1,0
169,1556609841,2,1
170,1556609853,1,-2
171,1556609905,0,1
172,1556609973,1,0
173,1556610011,2,1
174,1556610052,1,0
175,1556610101,-1,1
176,1556610113,1,2
177,1556610157,2,-2
178,1556610232,1,0
179,1556610238,3,0
180,1556610298,-2,3
181,1556610307,-1,-2
182,1556610326,-2,1
183,1556610579,3,-1
184,1556610810,-1,2
185,1556611214,1,-2
186,1556611402,-2,1
187,1556611589,2,-1
188,1556612307,-1,1
189,1556612409,-1,0
190,1556612529,0,-1
191,1556612576,0,2
192,1556612669,2,-2
193,1556612690,-1,2
194,1556612714,0,-2
195,1556612715,2,-3
196,1556612847,2,-3
197,1556612889,1,-1
198,1556613024,0,1
199,1556613092,0,0
200,1556613611,-1,2
201,1556613963,-1,1
202,1556614135,1,2
203,1556614140,2,-3
204,1556614395,1,-2
205,1556614626,0,0
206,1556614754,1,0
207,1556614902,2,3
208,1556614949,-3,-3
209,1556614982,0,0
210,1556615121,2,-3
211,1556615371,0,1
212,1556615394,1,1
213,1556615475,-1,0
214,1556615480,2,2
215,1556615483,-3,2
216,1556615549,-1,2
217,1556615603,0,0
218,1556615719,-1,0
219,1556615809,2,-3
220,1556615811,2,-3
221,1556615974,2,-1
222,1556616649,2,-1
223,1556617281,0,0
224,1556617768,-1,0
225,1556617773,2,0
226,1556617895,3,-2
227,1556617944,1,2
228,1556617959,-1,-1
229,1556617992,2,-2
230,1556618072,-1,-2
231,1556618144,1,-2
232,1556618359,-1,-1
233,1556618383,1,-2
234,1556618399,-1,-3
235,1556618405,1,0
236,1556618785,0,1
237,1556619234,0,0
238,1556619417,-3,0
239,1556620541,2,0
240,1556620607,1,0
241,1556620629,1,-2
242,1556620766,-1,3
243,1556620777,-2,1
244,1556620799,1,-2
245,1556620801,2,-3
246,1556620839,-2,2
247,1556620884,2,2
248,1556620918,-3,2
249,1556621065,1,2
250,1556621085,2,-2
251,1556621090,-1,2
252,1556621761,0,0
253,1556621773,-2,2
254,1556621892,1,-1
255,1556622689,-1,-1
256,1556623142,0,-2
257,1556623221,-3,3
258,1556623221,-3,3
259,1556623357,0,-1
260,1556623385,1,-1
261,1556623474,-1,1
262,1556623512,0,-2
263,1556623595,0,2
264,1556623702,0,0
265,1556624306,-1,0
266,1556625072,-2,2
267,1556625326,2,2
268,1556625764,2,-2
269,1556625921,-3,3
270,1556626043,2,-2
271,1556626206,-2,-1
272,1556626239,0,1
273,1556626277,2,-2
274,1556626351,-2,2
275,1556626371,2,2
276,1556626467,2,2
277,1556626494,-1,0
278,1556626498,0,2
279,1556626542,2,-2
280,1556626897,-1,2
281,1556627878,2,-1
282,1556627939,2,-1
283,1556627952,-3,-3
284,1556628001,-1,1
285,1556628173,-1,-1
286,1556628640,0,0
287,1556628764,0,0
288,1556628771,1,2
289,1556628798,-3,-3
290,1556628823,-1,1
291,1556628914,0,0
292,1556629047,3,-1
293,1556629118,0,-1
294,1556629257,-1,-1
295,1556629308,3,-1
296,1556629402,1,3
297,1556629634,2,-1
298,1556629824,-1,-1
299,1556629967,3,1
300,1556630180,0,1
301,1556630385,2,-1
302,1556630558,-2,0
303,1556631306,0,-2
304,1556631312,0,0
305,1556633054,-1,1
306,1556633283,-1,0
307,1556633321,1,2
308,1556634927,-1,0
309,1556635744,2,-1
310,1556636185,1,0
311,1556637719,-2,3
312,1556643870,1,-1
313,1556667191,0,-1
314,1556669870,0,-1
315,1556671473,1,2
316,1556672643,3,2
317,1556672661,2,-3
318,1556672707,-3,3
319,1556672708,-3,3
320,1556672762,1,-2
321,1556672957,1,1
322,1556672958,1,1
323,1556673080,0,0
324,1556673178,-1,1
325,1556673333,-1,1
326,1556673337,1,1
327,1556673539,3,-1
328,1556673550,1,-2
329,1556673683,0,-3
330,1556673796,1,1
331,1556673818,2,1
332,1556673913,0,0
333,1556674003,1,-2
334,1556674208,2,-2
335,1556674286,-3,0
336,1556674438,2,1
337,1556674779,0,1
338,1556674798,0,2
339,1556675021,2,1
340,1556675024,-1,1
341,1556675060,-3,1
342,1556675804,-1,2
343,1556675905,2,-2
344,1556676137,1,-1
345,1556676170,-1,1
346,1556676290,0,-1
347,1556676472,1,-1
348,1556676483,-2,1
349,1556676880,2,1
350,1556676949,-2,-2
351,1556677061,1,-1
352,1556677221,0,0
353,1556677462,-2,2
354,1556677463,-2,1
355,1556677483,3,-1
356,1556677524,-2,1
357,1556677543,-2,-2
358,1556677591,-2,1
359,1556677592,-1,1
360,1556677656,-1,1
361,1556677663,-1,1
362,1556677853,-1,-3
363,1556677966,-1,1
364,1556678895,-1,-1
365,1556679233,0,-1
366,1556679547,1,-2
367,1556679708,2,-2
368,1556680163,-2,0
369,1556680309,-1,1
370,1556680322,0,0
371,1556680395,1,-3
372,1556680421,-1,3
373,1556680426,2,-1
374,1556680612,0,-1
375,1556681214,0,1
376,1556681382,-1,1
377,1556681856,-2,1
378,1556682118,1,-2
379,1556682189,-2,-2
380,1556682423,0,-2
381,1556682716,-3,-1
382,1556682750,-1,-1
383,1556682804,1,-1
384,1556682855,0,1
385,1556682895,-3,1
386,1556683001,0,0
387,1556683147,-2,-2
388,1556683159,-1,-1
389,1556683168,1,-1
390,1556683198,2,1
391,1556683207,2,-2
392,1556683250,-3,1
393,1556683257,-3,1
394,1556683331,1,1
