,start_time,end_time,activity_name
0,00:00,08:00,Sleep
1,                    08:00,09:00,Morning Routine
2,                    09:00,10:00,Exercise
3,                    10:00,10:15,Break
4,                    10:15,11:15,DataViz Homework
5,                    11:15,11:30,Break
6,                    11:30,12:30,Work
7,                    12:30,13:00,Lunch
8,                    13:00,15:00,DataViz Homework
9,                    15:00,15:30,Break
10,                    15:30,17:30,Work
11,                    17:30,19:00,Netflix
12,                    19:00,20:00,Dinner
13,                    20:00,22:00,League of Legends
14,                    22:00,22:30,Personal Development
15,                    22:30,23:30,Relaxation
16,                    23:30,23:59,Preparation for Bedtime
