day,responseTime_unixtimestamp,Attention,Stress
1,1556691929.0333333,-1.0333333333333334,-0.16666666666666666
2,1556783081.4074075,-0.8148148148148148,-0.37037037037037035
3,1556868498.1333334,-0.43333333333333335,-1.1
4,1556957711.34375,-0.34375,-1.84375
5,1557042399.8214285,-0.75,-1.2142857142857142
6,1557128872.3125,0.625,-1.25
7,1557211280.0,1.0,0.5
8,1557297940.0769231,1.5384615384615385,-0.6153846153846154
9,1557385250.8461537,0.7692307692307693,0.23076923076923078
10,1557472151.2307692,0.46153846153846156,-0.7692307692307693
11,1557561521.6153846,1.4615384615384615,-0.07692307692307693
12,1557646485.2727273,1.0,-0.6363636363636364
13,1557732433.5333333,2.4,-0.6666666666666666
14,1557817985.1666667,0.75,-0.3333333333333333
15,1557914388.0,1.0,-1.0
16,1557997252.6363637,0.9090909090909091,0.36363636363636365
17,1558077292.1818182,1.2727272727272727,1.1818181818181819
18,1558163961.5384614,0.46153846153846156,1.0769230769230769
19,1558255471.1,1.0,1.0
20,1558329181.2857144,0.5714285714285714,0.2857142857142857
21,1558431007.6,2.2,-0.4
22,1558502865.6470587,0.29411764705882354,0.11764705882352941
23,1558543970.5,1.0,0.0
30,1556612791.9130435,-0.43478260869565216,-0.9130434782608695
