country,region,year,co2,gdp,population,child_mortality,life
Afghanistan,South Asia,1964,0.0863,1182,10474903,339.7,33.639
Afghanistan,South Asia,1965,0.101,1182,10697983,334.1,34.152
Afghanistan,South Asia,1966,0.108,1168,10927724,328.7,34.662
Afghanistan,South Asia,1967,0.124,1173,11163656,323.3,35.17
Afghanistan,South Asia,1968,0.116,1187,11411022,318.1,35.674
Afghanistan,South Asia,1969,0.0868,1178,11676990,313,36.172
Afghanistan,South Asia,1970,0.15,1174,11964906,307.8,36.663
Afghanistan,South Asia,1971,0.166,1092,12273101,302.1,37.143
Afghanistan,South Asia,1972,0.131,1046,12593688,296.4,37.614
Afghanistan,South Asia,1973,0.136,1137,12915499,290.8,38.075
Afghanistan,South Asia,1974,0.156,1170,13223928,284.9,38.529
Afghanistan,South Asia,1975,0.169,1201,13505544,279.4,38.977
Afghanistan,South Asia,1976,0.155,1231,13766792,273.6,39.417
Afghanistan,South Asia,1977,0.183,1119,14003408,267.8,39.855
Afghanistan,South Asia,1978,0.163,1179,14179656,261.6,40.298
Afghanistan,South Asia,1979,0.168,1155,14249493,255.5,40.756
Afghanistan,South Asia,1980,0.133,1158,14185729,249.1,41.242
Afghanistan,South Asia,1981,0.152,1284,13984092,242.7,41.77
Afghanistan,South Asia,1982,0.165,1402,13672870,236.2,42.347
Afghanistan,South Asia,1983,0.204,1454,13300056,229.7,42.977
Afghanistan,South Asia,1984,0.235,1429,12931791,222.9,43.661
Afghanistan,South Asia,1985,0.298,1384,12625292,216,44.4
Afghanistan,South Asia,1986,0.271,1486,12372113,209.2,45.192
Afghanistan,South Asia,1987,0.272,1230,12183387,202.1,46.024
Afghanistan,South Asia,1988,0.248,1113,12156685,195,46.88
Afghanistan,South Asia,1989,0.236,1087,12414686,187.8,47.744
Afghanistan,South Asia,1990,0.213,1028,13032161,181,48.601
Afghanistan,South Asia,1991,0.188,1022,14069854,174.2,49.439
Afghanistan,South Asia,1992,0.0997,941,15472076,167.8,50.247
Afghanistan,South Asia,1993,0.0891,810,17053213,162,51.017
Afghanistan,South Asia,1994,0.08,725,18553819,156.8,51.738
Afghanistan,South Asia,1995,0.0727,872,19789880,152.3,52.4
Afghanistan,South Asia,1996,0.066,895,20684982,148.6,52.995
Afghanistan,South Asia,1997,0.0597,921,21299350,145.5,53.527
Afghanistan,South Asia,1998,0.0552,947,21752257,142.6,54.009
Afghanistan,South Asia,1999,0.0423,972,22227543,139.9,54.449
Afghanistan,South Asia,2000,0.0385,962,22856302,137,54.863
Afghanistan,South Asia,2001,0.039,862,23677385,133.8,55.271
Afghanistan,South Asia,2002,0.0487,1053,24639841,130.3,55.687
Afghanistan,South Asia,2003,0.0518,1097,25678639,126.8,56.122
Afghanistan,South Asia,2004,0.0394,1067,26693486,123.2,56.583
Afghanistan,South Asia,2005,0.0529,1146,27614718,119.6,57.071
Afghanistan,South Asia,2006,0.0637,1173,28420974,116.3,57.582
Afghanistan,South Asia,2007,0.0854,1298,29145841,113.2,58.102
Afghanistan,South Asia,2008,0.154,1311,29839994,110.4,58.618
Afghanistan,South Asia,2009,0.242,1548,30577756,107.6,59.124
Afghanistan,South Asia,2010,0.294,1637,31411743,105,59.612
Afghanistan,South Asia,2011,0.412,1695,32358260,102.3,60.079
Afghanistan,South Asia,2012,0.35,1893,33397058,99.5,60.524
Afghanistan,South Asia,2013,0.316,1884,34499915,96.7,60.947
Albania,Europe & Central Asia,1964,1.09,3023,1817098,122.67,65.475
Albania,Europe & Central Asia,1965,1.15,3129,1869942,120.09,65.863
Albania,Europe & Central Asia,1966,1.31,3242,1922993,117.56,66.122
Albania,Europe & Central Asia,1967,1.34,3359,1976140,115.09,66.316
Albania,Europe & Central Asia,1968,1.5,3475,2029314,112.67,66.5
Albania,Europe & Central Asia,1969,1.55,3587,2082474,110.3,66.702
Albania,Europe & Central Asia,1970,1.74,3712,2135599,107.98,66.948
